brand_list;unit_sales;sales
SAMSUNG;8748;86019100.99999999
MOTOROLA;5651;55593865.58999998
LG;5287;34413645.32000001
XIAOMI;5085;60845433.30999999
OTROS;3572;15049774.59
HUAWEI;1611;22062052.84
BLU;863;2576862.2099999995
NOKIA;640;1679269.18
APPLE;544;14744294.210000005
ALCATEL;305;898061.6
CAT;259;3431278.8000000007
SONY;186;1863485.3299999998
MAXWEST;86;117914.30000000002
PHILIPS;53;215755.72999999998
BLACKBERRY;43;133972.94
ZTE;42;168182.76
ERICSSON;6;23493.6
ARCHOS;3;10097.0
HTC;2;17249.989999999998
GOOGLE;2;1050.0
MICROSOFT;2;1810.0
ASUS;2;34450.0
LEECO;1;8750.0
LENOVO;1;17999.0
ONEPLUS;1;6000.0
OPPO;1;29999.0
